編號,車位類別,車位價格,車位面積平方公尺
RPTOMLQLNHMFFAB28CA,坡道平面,0,29.83
RPPOMLNLNHMFFAB57CA,坡道機械,0,
RPPRMLNLNHMFFAB87CA,坡道機械,0,
RPTNMLNLNHMFFAB87CA,坡道平面,0,33.41
RPUSMLNKOHMFFBB58CA,坡道平面,0,
RPQOMLOKOHMFFBB87CA,坡道平面,0,21.49
RPSPMLNKOHMFFBB08CA,坡道平面,1200000,31.24
RPSNMLQKOHMFFBB18CA,坡道平面,1400000,31.24
RPQPMLQLNHMFFBB18CA,坡道平面,0,
RPOOMLTLNHMFFBB18CA,坡道平面,1200000,34.09
RPPOMLTLNHMFFBB28CA,坡道平面,1300000,34.09
RPSOMLMJOHMFFBB77CA,坡道平面,0,24.81
RPXPMLMJOHMFFBB38CA,坡道平面,0,24.85
RPPNMLNJOHMFFBB47CA,一樓平面,0,
RPTPMLPJOHMFFBB28CA,坡道平面,1000000,28.02
RPTPMLQJOHMFFBB38CA,坡道平面,0,28.12
RPTPMLQJOHMFFBB38CA,坡道平面,0,28.12
RPRNMLRJOHMFFBB08CA,升降機械,0,
RPXNMLMJOHMFFBB18CA,坡道平面,0,30.96
RPROMLLJOHMFFBB57CA,坡道平面,0,33.72
RPROMLLJOHMFFBB57CA,坡道平面,0,33.72
RPPNMLSLNHMFFBB08CA,坡道平面,0,32.82
RPPNMLSLNHMFFBB08CA,坡道平面,0,32.82
RPPNMLSLNHMFFBB08CA,坡道平面,0,32.82
RPTNMLQKOHMFFBB28CA,坡道平面,1200000,32.82
RPTNMLQKOHMFFBB28CA,坡道平面,1200000,32.82
RPTQMLOKOHMFFBB38CA,坡道平面,0,
RPTQMLOKOHMFFBB38CA,坡道機械,0,
RPTQMLOKOHMFFBB38CA,坡道機械,0,
RPUQMLOKOHMFFBB48CA,坡道平面,0,
RPUQMLOKOHMFFBB48CA,坡道機械,0,
RPUQMLOKOHMFFBB48CA,坡道機械,0,
RPWQMLOKOHMFFBB68CA,坡道平面,0,
RPWQMLOKOHMFFBB68CA,坡道機械,0,
RPWQMLOKOHMFFBB68CA,坡道機械,0,
RPVNMLPKOHMFFBB38CA,坡道平面,0,
RPVNMLPKOHMFFBB38CA,坡道機械,0,
RPVNMLPKOHMFFBB38CA,坡道機械,0,
RPWQMLQKOHMFFBB88CA,坡道機械,0,
RPOOMLPKOHMFFBB77CA,坡道平面,0,
RPOOMLPKOHMFFBB77CA,坡道機械,0,
RPOOMLPKOHMFFBB77CA,坡道機械,0,
RPPOMLPKOHMFFBB87CA,坡道平面,0,
RPPOMLPKOHMFFBB87CA,坡道機械,0,
RPPOMLPKOHMFFBB87CA,坡道機械,0,
RPROMLPKOHMFFBB08CA,坡道平面,0,
RPROMLPKOHMFFBB08CA,坡道機械,0,
RPROMLPKOHMFFBB08CA,坡道機械,0,
RPSOMLPKOHMFFBB18CA,坡道平面,0,
RPSOMLPKOHMFFBB18CA,坡道機械,0,
RPSOMLPKOHMFFBB18CA,坡道機械,0,
RPTOMLPKOHMFFBB28CA,坡道平面,0,
RPTOMLPKOHMFFBB28CA,坡道機械,0,
RPTOMLPKOHMFFBB28CA,坡道機械,0,
RPUOMLPKOHMFFBB38CA,坡道平面,0,
RPUOMLPKOHMFFBB38CA,坡道機械,0,
RPUOMLPKOHMFFBB38CA,坡道機械,0,
RPWOMLPKOHMFFBB58CA,坡道平面,0,
RPWOMLPKOHMFFBB58CA,坡道機械,0,
RPWOMLPKOHMFFBB58CA,坡道機械,0,
RPOPMLPKOHMFFBB87CA,坡道平面,0,
RPOPMLPKOHMFFBB87CA,坡道機械,0,
RPOPMLPKOHMFFBB87CA,坡道機械,0,
RPPPMLPKOHMFFBB97CA,坡道平面,0,
RPPPMLPKOHMFFBB97CA,坡道機械,0,
RPPPMLPKOHMFFBB97CA,坡道機械,0,
RPQPMLPKOHMFFBB08CA,坡道平面,0,
RPQPMLPKOHMFFBB08CA,坡道平面,0,
RPRPMLPKOHMFFBB18CA,坡道平面,0,
