鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中正區,房地(土地+建物),臺北市中正區同安街61~90號,34.25,住,,,1051121,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0580731,86.23,1,1,1,有,無,15000000,173953,,0.0,0,,RPUNMLTLNHMFFAA48CA
中正區,房地(土地+建物),臺北市中正區水源路151~180號,24.23,住,,,1060420,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0771209,126.52000000000001,4,2,2,有,無,19900000,157287,,0.0,0,,RPVNMLTLNHMFFAA58CA
文山區,房地(土地+建物),臺北市文山區萬壽路61~90號,17.16,住,,,1060417,土地1建物1車位0,五層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961023,35.56,1,0,1,有,有,3900000,109674,,0.0,0,含增建或未登記建物。,RPRQMLQLNHMFFAA18CA
文山區,房地(土地+建物),臺北市文山區萬安街44巷1~30號,58.0,住,,,1060419,土地3建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0720728,99.39999999999999,3,2,1,有,有,12930000,130080,,0.0,0,含增建或未登記建物。,RPSQMLQLNHMFFAA28CA
文山區,房地(土地+建物),臺北市文山區興隆路二段203巷121~150號,24.23,住,,,1060408,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860623,98.37,3,2,2,有,有,14160000,143946,,0.0,0,含增建或未登記建物。,RPUQMLQLNHMFFAA48CA
文山區,房地(土地+建物),臺北市文山區興隆路一段70巷11弄1~30號,31.25,住,,,1060425,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,96.9,3,2,2,有,無,13700000,141383,,0.0,0,含增建或未登記建物:陽台外推,RPPNMLSLNHMFFAA87CA
文山區,房地(土地+建物),臺北市文山區木新路二段241~270號,25.84,住,,,1060419,土地5建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,96.99,3,2,2,有,無,9500000,97948,,0.0,0,,RPQPMLQLNHMFFAA97CA
文山區,房地(土地+建物),臺北市文山區木柵路一段378巷1~30號,27.5,住,,,1060413,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,88.32,3,2,1,有,無,8100000,91712,,0.0,0,,RPTOMLRJOHMFFAA18CA
中正區,車位,臺北市中正區汀州路二段31~60號,0.14,商,,,1060420,土地0建物0車位1,地下四層,十四層,其他,見使用執照,鋼筋混凝土造,0850126,9.43,0,0,0,有,有,1100000,,坡道機械,9.43,1100000,,RPSNMLOJOHMFFAA67CA
文山區,房地(土地+建物),臺北市文山區辛亥路七段69巷31~60號,27.1,住,,,1060501,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800709,94.30000000000001,3,2,1,有,有,10520000,111559,,0.0,0,,RPSNMLLJOHMFFAA37CA
中正區,房地(土地+建物)+車位,臺北市中正區汀州路二段91~120號,13.92,住,,,1060412,土地1建物2車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030123,85.39,1,1,2,有,有,16500000,193208,坡道機械,19.37,0,,RPXNMLMJOHMFFAA97CA
文山區,房地(土地+建物),臺北市文山區指南路二段45巷14弄1~30號,9.03,住,,,1060512,土地1建物1車位0,五層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980518,36.87,1,0,1,有,有,7247500,196569,,0.0,0,,RPOOMLMJOHMFFAA17CA
內湖區,房地(土地+建物),臺北市內湖區港墘路60巷1~30號,34.89,住,,,1060318,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680430,78.82000000000001,4,0,4,有,無,11500000,145902,,0.0,0,登記人有2位。含增建或未登記建物。,RPRPMLRJOHMFFCA28CA
中山區,車位,臺北市中山區89巷27弄1~30號,0.39,住,,,1060503,土地0建物0車位1,,,其他,,,,29.68,0,0,0,有,有,3500000,,坡道平面,29.68,3500000,,RPXRMLQJOHMFFCA98CA
內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路121~150號,41.07,住,,,1060508,土地1建物1車位2,十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011121,324.61,4,2,2,有,有,70600000,260727,坡道平面,69.17,4000000,,RPSNMLRJOHMFFCA18CA
內湖區,房地(土地+建物),臺北市內湖區文德路210巷30弄1~30號,7.8,商,,,1060412,土地1建物1車位0,一層，騎樓,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0990324,52.620000000000005,0,0,1,無,有,15800000,300266,,0.0,0,,RPXNMLRJOHMFFCA68CA
中山區,房地(土地+建物)+車位,臺北市中山區中山北路ㄧ段105巷1~30號,8.46,商,,,1060518,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060110,79.33,1,1,1,有,有,21770000,314075,坡道機械,17.02,2200000,,RPSNMLQJOHMFFCA08CA
中山區,房地(土地+建物)+車位,臺北市中山區朱崙街31~60號,73.96,住,,,1060414,土地1建物1車位5,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1000120,707.3299999999999,4,2,5,有,有,202000000,285581,坡道平面,235.75,0,,RPQOMLQJOHMFFCA97CA
中山區,房地(土地+建物)+車位,臺北市中山區敬業三路162巷1~30號,47.09,住,,,1060420,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890628,155.72,3,2,2,有,有,37000000,237606,坡道平面,0.0,0,,RPQNMLOJOHMFFCA67CA
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路361~390號,26.6,其他,,,1060509,土地1建物1車位1,十層,十二層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1021017,163.17000000000002,3,1,2,有,有,26920000,164981,坡道平面,21.4,0,,RPPNMLPJOHMFFCA67CA
中山區,車位,臺北市中山區新生北路二段28巷1~30號,0.76,其他,,,1060421,土地0建物0車位1,地下三層,十五層,其他,見使用執照,鋼筋混凝土造,0780517,32.03,0,0,0,有,有,1820000,,坡道平面,28.83,1820000,,RPOOMLMJOHMFFCA37CA
中山區,車位,臺北市中山區新生北路二段28巷1~30號,0.76,其他,,,1060324,土地0建物0車位1,地下三層,十五層,其他,見使用執照,鋼筋混凝土造,0780517,32.03,0,0,0,有,有,1600000,,坡道平面,28.83,1600000,,RPPOMLMJOHMFFCA47CA
中山區,房地(土地+建物)+車位,臺北市中山區敬業三路151~180號,47.09,住,,,1060501,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890628,155.39999999999998,3,2,2,有,有,26500000,170528,坡道平面,0.0,0,,RPOPMLMJOHMFFCA47CA
內湖區,房地(土地+建物),臺北市內湖區康寧路三段190巷31~60號,12.47,住,,,1060424,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970103,54.43000000000001,2,1,1,有,有,9500000,174536,,0.0,0,,RPPRMLMJOHMFFCA77CA
中山區,房地(土地+建物)+車位,臺北市中山區樂群二路91~120號,30.44,商,,,1060418,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0971121,200.95,2,2,2,有,有,67800000,337397,坡道平面,30.83,0,含增建或未登記建物。,RPPRMLLMNHMFFCA87CA
中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段59巷31~60號,6.3,商,,,1060501,土地1建物1車位1,十六層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880928,72.84,1,1,1,有,無,10680000,146623,坡道機械,0.0,0,,RPWOMLLJOHMFFCA08CA
