編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLRLNHMFFCE58CC,籬子內段籬子內小段,27.80,都市：住
RPPNMLTLNHMFFEE98CC,新庄段十三小段,8.67,都市：商
RPQNMLTLNHMFFEE09CC,新庄段十三小段,9.77,都市：商
RPRNMLTLNHMFFEE56CC,新庄段十三小段,6.55,都市：商
RPSNMLTLNHMFFEE66CC,新庄段十三小段,7.43,都市：商
RPTNMLTLNHMFFEE76CC,新庄段七小段,20.75,都市：住
RPRNMLTLNHMFFBE88CC,新興段二小段,8.96,都市：商
RPTNMLTLNHMFFBE09CC,大統段二小段,23.94,都市：商
RPVNMLLMNHMFFBE58CC,福東段,31.00,都市：住
RPXNMLLMNHMFFBE78CC,苓雅寮段,18.61,都市：住
RPROMLLMNHMFFBE28CC,福東段,49.00,都市：住
RPPPMLLMNHMFFDE38CC,大港段四小段,16.55,都市：商
RPOOMLLMNHMFFEE28CC,新夏段,62.43,都市：住
RPVOMLLMNHMFFEE98CC,新庄段二小段,45.36,都市：商
RPTNMLLMNHMFFCE48CC,獅甲段二小段,23.90,都市：其他
RPTOMLLMNHMFFGE98CC,赤山段,13.02,都市：住
RPWOMLLMNHMFFDE09DC,中都段三小段,164.25,都市：住
RPVOMLLMNHMFFCE88DC,瑞隆段四小段,70.00,都市：商
