編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLNJOHMFFBC67CA,20,46.31,住家用,鋼筋混凝土造,86年2月3日,五層,五層
RPPOMLNJOHMFFBC67CA,20,6.29,共用部份,鋼筋混凝土造,86年2月3日,五層,
RPUOMLNJOHMFFBC18CA,36,61.85,住商用,鋼筋混凝土造,70年4月28日,五層,一層 騎樓
RPQNMLLMNHMFFBC67CA,1,90.30,見其他登記事項,鋼筋混凝土造,105年10月7日,七層,六層
RPQNMLLMNHMFFBC67CA,1,55.33,見其他登記事項,鋼筋混凝土造,105年10月7日,七層,
RPSNMLPLNHMFFBC18CA,28,119.69,住家用,鋼筋混凝土造,78年10月18日,四層,二層
RPSNMLPLNHMFFBC18CA,28,3.50,共用部份,鋼筋混凝土造,78年10月18日,四層,
RPRNMLLKOHMFFBC67CA,21,41.86,住家用,鋼筋混凝土造,84年11月16日,五層,五層
RPRNMLLKOHMFFBC67CA,21,5.72,共用部份,鋼筋混凝土造,84年11月16日,五層,
RPSOMLPLNHMFFCC38CA,35,88.60,住家用,鋼筋混凝土造,71年5月24日,四層,二層
RPTOMLPLNHMFFCC48CA,44,102.40,住家用,加強磚造,62年1月14日,二層,一層 二層
RPPNMLQLNHMFFCC08CA,22,92.35,住家用,鋼筋混凝土造,83年11月21日,七層,二層
RPPNMLQLNHMFFCC08CA,22,13.91,共用部份,鋼筋混凝土造,83年11月21日,七層,
RPSPMLMJOHMFFCC08CA,1,64.93,見其他登記事項,鋼筋混凝土造,104年12月28日,十五層,十三層
RPSPMLMJOHMFFCC08CA,1,69.70,見其他登記事項,鋼筋混凝土造,104年12月28日,十五層,
RPWPMLMJOHMFFCC48CA,,56.02,見其他登記事項,鋼筋混凝土造,106年1月24日,六層,五層
RPWPMLMJOHMFFCC48CA,,8.34,見其他登記事項,鋼筋混凝土造,106年1月24日,六層,
RPWPMLMJOHMFFCC48CA,,10.96,見其他登記事項,鋼筋混凝土造,106年1月24日,六層,
RPWPMLMJOHMFFCC48CA,,8.23,見其他登記事項,鋼筋混凝土造,106年1月24日,六層,
RPVNMLPJOHMFFCC48CA,9,23.11,共用部份,鋼筋混凝土造,97年7月1日,七層,
RPXNMLPJOHMFFCC68CA,5,.14,見其他登記事項,鋼筋混凝土造,101年10月25日,十一層,一層
RPXNMLPJOHMFFCC68CA,5,31.84,見其他登記事項,鋼筋混凝土造,101年10月25日,十一層,
RPOOMLPJOHMFFCC87CA,5,.14,見其他登記事項,鋼筋混凝土造,101年10月25日,十一層,一層
RPOOMLPJOHMFFCC87CA,5,31.84,見其他登記事項,鋼筋混凝土造,101年10月25日,十一層,
RPRNMLLMNHMFFCC87CA,32,77.11,住家用,鋼筋混凝土造,73年11月27日,五層,三層
RPWOMLOKOHMFFCC68CA,21,74.90,住家用,鋼筋混凝土造,85年2月17日,十層,九層
RPWOMLOKOHMFFCC68CA,21,9.29,共用部份,鋼筋混凝土造,85年2月17日,十層,
RPWOMLOKOHMFFCC68CA,21,16.23,共用部份,鋼筋混凝土造,85年2月17日,十層,
RPTNMLNKOHMFFCC18CA,4,52.97,見其他登記事項,鋼筋混凝土造,102年3月29日,十二層,十一層
RPTNMLNKOHMFFCC18CA,4,18.49,見其他登記事項,鋼筋混凝土造,102年3月29日,十三層,
RPTNMLNKOHMFFCC18CA,4,.04,見其他登記事項,鋼筋混凝土造,102年3月29日,十二層,一層
RPTNMLNKOHMFFCC18CA,4,22.36,見其他登記事項,鋼筋混凝土造,102年3月29日,十三層,
RPQNMLKKOHMFFCC57CA,36,88.92,住家用,鋼筋混凝土造,70年8月25日,四層,四層
RPVNMLLJOHMFFBC08DA,18,226.55,住商用,鋼筋混凝土造,88年1月20日,四層,二層 三層 一層 四層 騎樓
RPPNMLTLNHMFFCC38CA,22,69.05,住家用,鋼筋混凝土造,84年8月8日,六層,六層
RPPNMLTLNHMFFCC38CA,22,11.57,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPPNMLTLNHMFFCC38CA,22,13.06,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPVNMLNJOHMFFCC28CA,33,83.74,住商用,鋼筋混凝土造,73年6月29日,五層,一層 騎樓 停車場
