鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
楠梓區,房地(土地+建物),高雄市楠梓區楠梓新路121~150號,83.0,商,,,1060508,土地1建物1車位0,全,2,透天厝,,加強磚造,0741104,122.43,0,0,0,無,無,無,30000,245,,0.0,0,,RPSPMLSKNHMFFEE66CC
前鎮區,建物,高雄市前鎮區一心二路241~270號,0.0,,,,1060516,土地0建物1車位0,十層,21,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841205,37.66,1,1,1,有,有,有,10000,266,,0.0,0,,RPXOMLSKNHMFFCE86CC
鳳山區,房地(土地+建物),高雄市鳳山區保義街61~90號,83.26,住,,,1060512,土地1建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1040406,228.66,4,3,4,有,無,無,33000,144,,0.0,0,,RPRPMLSKNHMFFGE76CC
大社區,土地,林邊段361~390地號,1071.07,農,,,1060420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,70000,65,,0.0,0,建物無保存登記300坪,RPQOMLSKNHMFFIE76CC
小港區,土地,坪鳳段241~270地號,403.62,住,,,1060515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,6000,15,,0.0,0,,RPSOMLSKNHMFFCE09DC
三民區,房地(土地+建物),高雄市三民區澄清路301~330號,66.0,住,,,1060511,土地1建物1車位0,全,5,透天厝,,鋼筋混凝土造,0770625,290.02,0,0,0,無,無,無,35000,121,,0.0,0,,RPWNMLSKNHMFFDE86DC
鳳山區,房地(土地+建物),高雄市鳳山區鳳東路361~390號,24.25,住,,,1060419,土地1建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,0960205,50.54,0,0,0,無,無,無,13000,257,,0.0,0,,RPVQMLSKNHMFFGE37DC
左營區,房地(土地+建物),高雄市左營區光興街211~240號,124.0,住,,,1060517,土地1建物1車位0,全,3,透天厝,,鋼筋混凝土造,0760812,77.46,0,0,1,有,無,有,40000,516,,0.0,0,本承租住址，僅租一樓部分，第一年的月租金每月肆萬元整，第二年肆萬貳仟伍佰元整，第三~五年每月肆萬伍仟元整,RPUNMLTKNHMFFEE86DC
大社區,建物,高雄市大社區旗楠路61~90號,3341.92,工,,,1060509,土地0建物1車位0,一層,2,廠辦,見其他登記事項,鋼造,0780412,749.5,0,0,0,無,無,無,25000,33,,0.0,0,,RPVNMLTKNHMFFIE27CC
仁武區,土地,仁雄段541~570地號,571.84,住,,,1060519,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,50000,87,,0.0,0,,RPOOMLTKNHMFFIE66CC
仁武區,房地(土地+建物),高雄市仁武區鳳仁路61~90號,78.84,其他,,,1060518,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0820916,121.74,4,2,2,有,無,無,26000,214,,0.0,0,,RPVOMLTKNHMFFIE37CC
鳳山區,房地(土地+建物)+車位,高雄市鳳山區南江街31~60號,747.0,住,,,1060517,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821229,61.15,3,2,2,有,無,有,10000,164,一樓平面,0.0,0,,RPUOMLTKNHMFFGE07CC
鳳山區,房地(土地+建物)+車位,高雄市鳳山區工協街31~60號,45.2,住,,,1060420,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010502,185.75,3,2,2,有,有,無,15000,81,坡道平面,0.0,0,,RPPPMLTKNHMFFGE66CC
鳳山區,房地(土地+建物),高雄市鳳山區高雄市鳳山區漢慶街101巷1~30號,84.0,住,,,1060511,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0621226,91.56,6,2,2,有,無,有,13000,142,,0.0,0,,RPRPMLTKNHMFFGE86CC
鳳山區,房地(土地+建物),高雄市鳳山區澄清路161巷1~30號,33.28,住,,,1060504,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681129,99.47,4,2,2,有,無,有,8000,80,,0.0,0,,RPXPMLTKNHMFFGE47CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中華五路1261~1290號,31.62,住,,,1060512,土地1建物1車位1,二十層,29,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1020710,279.9,3,2,3,有,有,有,65000,232,坡道平面,0.0,0,,RPVNMLTKNHMFFCE66CC
前鎮區,房地(土地+建物),高雄市前鎮區沱江街121~150號,2.8,住,,,1060516,土地1建物1車位0,三層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860527,63.61,2,1,1,有,有,有,10000,157,,0.0,0,,RPWNMLTKNHMFFCE76CC
前鎮區,房地(土地+建物),高雄市前鎮區一心二路61~90號,39.73,商,,,1060516,土地1建物1車位0,一層,23,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0871123,426.68,0,0,1,有,有,有,62000,145,,0.0,0,,RPTPMLTKNHMFFCE66CC
左營區,房地(土地+建物),高雄市左營區裕誠路211~240號,76.0,住,,,1060420,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0780908,327.37,6,3,5,有,無,有,60000,183,,0.0,0,,RPRPMLTKNHMFFEE66CC
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路391~420號,55.71,住,,,1060422,土地2建物1車位3,見其它登記事項,15,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,0970417,433.73,0,3,2,有,有,有,78000,180,坡道平面,105.84,0,,RPUPMLTKNHMFFEE96CC
左營區,房地(土地+建物),高雄市左營區明華一路151~180號,4.8,商,,,1060514,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020808,119.36,3,2,2,有,有,有,19000,159,,0.0,0,,RPWPMLTKNHMFFEE17CC
三民區,房地(土地+建物)+車位,高雄市三民區大順二路631~660號,14.68,住,,,1060518,土地1建物1車位1,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850325,141.42000000000002,2,2,1,有,有,無,17000,120,坡道平面,0.0,0,,RPWNMLTKNHMFFDE86CC
三民區,房地(土地+建物),高雄市三民區褒揚街181~210號,7.06,商,,,1060501,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820826,68.00999999999999,2,1,1,有,有,有,8000,118,,0.0,0,,RPXNMLTKNHMFFDE96CC
鼓山區,建物,高雄市鼓山區美術東七街1~30號,0.0,住,,,1060516,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950126,76.11,2,1,1,有,有,無,15000,197,,0.0,0,,RPPNMLTKNHMFFAE48CC
