編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQPMLQKOHMFFDA48CC,44,59.50,住家用,鋼筋混凝土造,62年6月23日,四層,
RPVOMLQKOHMFFBA68CC,8,57.38,住家用,見其他登記事項,98年7月24日,十八層,
RPVOMLQKOHMFFBA68CC,8,17.19,共有部分,見其他登記事項,98年7月24日,十八層,
RPVOMLQKOHMFFBA68CC,8,.12,共有部分,見其他登記事項,98年7月24日,十八層,
RPRNMLRKOHMFFDA48CC,10,60.76,住家用,見其他登記事項,95年12月29日,十九層,
RPRNMLRKOHMFFDA48CC,10,30.92,共有部分,見其他登記事項,95年12月29日,十九層,
RPPNMLSKOHMFFDA38CC,10,91.24,住家用,鋼筋混凝土造,96年11月6日,十二層,
RPPNMLSKOHMFFDA38CC,10,41.51,共有部分,鋼筋混凝土造,96年11月6日,十二層,
RPXNMLTKOHMFFDA66CC,35,148.98,商業用,鋼筋混凝土造,71年7月7日,十六層,
RPXNMLTKOHMFFDA66CC,35,26.97,共有部分,鋼筋混凝土造,71年7月7日,十六層,
RPXNMLTKOHMFFDA66CC,35,4.42,共有部分,鋼筋混凝土造,71年7月7日,十六層,
RPWOMLTKOHMFFDA66CC,30,186.57,商業用,鋼筋混凝土造,75年11月29日,十四層,
RPWOMLTKOHMFFDA66CC,30,46.77,共有部分,鋼筋混凝土造,75年11月29日,十四層,
RPWOMLTKOHMFFDA66CC,30,29.72,見使用執照,鋼筋混凝土造,75年11月29日,十四層,
RPWOMLTKOHMFFDA66CC,30,16.33,共有部分,鋼筋混凝土造,75年11月29日,十四層,
RPSNMLTKOHMFFBA58CC,10,39.59,住家用,鋼筋混凝土造,96年1月29日,十一層,
RPSNMLTKOHMFFBA58CC,10,8.63,共有部分,鋼筋混凝土造,96年1月29日,十一層,
RPSNMLTKOHMFFBA58CC,10,12.89,共有部分,鋼筋混凝土造,96年1月29日,十一層,
RPWOMLTKOHMFFCA56CC,39,58.96,住商用,鋼筋混凝土造,67年1月21日,十二層,
RPWOMLTKOHMFFCA56CC,39,13.19,共有部分,鋼筋混凝土造,67年1月21日,十二層,
RPOPMLTKOHMFFCA48CC,44,180.50,商業用,鋼筋混凝土造,62年5月21日,八層,
RPSPMLTKOHMFFCA88CC,,75.42,,加強磚造,,三層,
RPTNMLTKOHMFFFA09CC,33,238.17,商業用,鋼筋混凝土造,73年7月26日,十五層,
RPSPMLKLOHMFFDA18CC,32,115.83,商業用,鋼筋混凝土造,74年2月2日,五層,
RPWNMLLLOHMFFDA48CC,,167.98,見使用執照,鋼筋混凝土造,,七層,
RPWNMLLLOHMFFDA48CC,,23.10,見使用執照,鋼筋混凝土造,,七層,
RPUNMLLLOHMFFCA18CC,12,28.23,住家用,鋼筋混凝土造,93年12月3日,十四層,
